.	57.49	45.73	45.00	Q2	SOT23
C1	47.64	31.20	90.00	.1uf	C0402
C10	60.38	42.93	270.00	1uf	C0402
C11	45.54	45.61	135.00	100NF 10V	C0402
C3	39.80	40.46	180.00	100NF 10V	C0402
C4	60.93	44.97	180.00	1uf	C0402
C5	45.73	30.90	0.00	.1uf	C0402
C6	53.35	47.42	180.00	1uf	C0402
C7	58.98	38.52	0.00	18pf	C0402
C8	53.51	31.79	225.00	18pf	C0402
C9	42.97	43.31	180.00	.1uf	C0402
Q1	55.00	51.00	270.00	CJ2302	SOT-23
R1	45.74	51.74	225.00	10K	R0402
R2	47.57	50.05	225.00	10K	R0402
R3	42.00	41.00	90.00	10K	R0402
U$1	43.42	47.52	45.00	RTC	RTC
U$10	42.29	27.56	150.00	WS2813	WS2813
U$11	36.55	33.32	120.00	WS2813	WS2813
U$12	34.46	41.07	90.00	WS2813	WS2813
U$13	36.62	48.83	60.00	WS2813	WS2813
U$14	42.23	54.41	30.00	WS2813	WS2813
U$2	56.76	34.46	45.00	8MHZ	8MHZCRYSTAL
U$3	50.10	56.51	0.00	WS2813	WS2813
U$4	57.74	54.45	330.00	WS2813	WS2813
U$5	63.41	48.78	300.00	WS2813	WS2813
U$6	65.49	40.90	270.00	WS2813	WS2813
U$7	63.43	33.26	240.00	WS2813	WS2813
U$8	57.75	27.58	210.00	WS2813	WS2813
U$9	49.92	25.48	180.00	WS2813	WS2813
U2	50.00	41.00	135.00	ATMEGA328P-AU	QFP80P900X900X120-32N
U3	43.00	34.00	45.00	ADXL345BCCZ-RL	LGA14-0.8-5.0X3.0MM
U4	60.44	41.08	180.00	U2	LTR
Y1	40.11	44.16	135.00	3.2768KHZ	X2-SMD-L2.0X1.2X0.55MM
